,id,created_at,text,public_metrics
73,1370524485363843073,2021-03-12T23:57:55.000Z,"@XenoNanoEntity @Miles_DF NFT and IP aren't related concepts, it's the difference between owning a Tesla Model S and owning the patent on the Tesla Model S. The artist retains the IP, the NFT is just a fancy digital tag a person can buy and trade. Ecological issues are valid tho, I agree.","{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
74,1370524484059418630,2021-03-12T23:57:54.000Z,@StockMKTNewz Tesla. Only TSLA,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
75,1370524468414709760,2021-03-12T23:57:51.000Z,"RT @FernandoMalkun: Los sueños de Nikola Tesla siempre fueron para mejorar a la humanidad, su escala siempre fue planetaria, su mente no co…","{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
76,1370524454644764677,2021-03-12T23:57:47.000Z,RT @sierralashae: I need Tesla solar panels ..that’s how I know I’ve made it in life lol,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
77,1370524451582926848,2021-03-12T23:57:47.000Z,@AkiraXero @ijustine i haven’t walked into a store to get my tesla so i don’t know the process. and if she was even recognized behind the mask. lol,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
78,1370524436118581250,2021-03-12T23:57:43.000Z,"@elonmusk ""we’ve also revoked beta where drivers did not pay sufficient attention to the road.""

This.  This right here.  This is how you solve problems.
I am WAY more bullish on $TSLA now.

WAY more.

$TSLA.","{'retweet_count': 18, 'reply_count': 15, 'like_count': 330, 'quote_count': 0}"
79,1370524414488375304,2021-03-12T23:57:38.000Z,RT @Kamada3: テスラの投資家が、イーロン・マスク氏と役員を訴えたことが報道されています。告訴する原因となったのはマスク氏のツイートです。一例としてあげられているのは、「テスラ株は割高」というツイートです。投資家は、このツイートで時価総額が大きく下がった、と嘆いていま…,"{'retweet_count': 90, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
80,1370524404526968832,2021-03-12T23:57:35.000Z,"@elonmusk How do we get access to beta if we weren’t on some “exclusive pay-to-win list?” I purchase the beta and want to test it, but I’m by no means an influencer or belong to the Silicon Valley Tesla Club","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
81,1370524373921189888,2021-03-12T23:57:28.000Z,RT @Reuters: Tesla Chief Executive Elon Musk has been sued by a shareholder who accused him of violating his 2018 settlement with the U.S.…,"{'retweet_count': 24, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
82,1370524361862610947,2021-03-12T23:57:25.000Z,"Top Ten: Weekend reads: The value proposition in the stock market  Also: tips for getting your $1,400 stimulus payment; biotech stocks picks; two IPOs and the next dominant electric-vehicle maker after Tesla.
   
  https://t.co/wLYpP2CfYA https://t.co/mcSDZAexUF","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
83,1370524350823104512,2021-03-12T23:57:23.000Z,@Daniell10755974 i’ll jus pick you up on my Tesla https://t.co/lv6PXEubwc,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}"
84,1370524344217182209,2021-03-12T23:57:21.000Z,"RT @elonmusk: Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note: word “Be…","{'retweet_count': 1264, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
85,1370524343659339783,2021-03-12T23:57:21.000Z,@monster_tesla Aslında öyle bazı şeyleri görünce kendi dünyamın beni ne kadar mutlu ettiğini daha net görüyorum .,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
86,1370524341432020993,2021-03-12T23:57:20.000Z,@IckyWoodz You seen the tesla one?,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
87,1370524331592318977,2021-03-12T23:57:18.000Z,"RT @elonmusk: Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note: word “Be…","{'retweet_count': 1264, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
88,1370524330212347907,2021-03-12T23:57:18.000Z,@JoseWGarcia @elonmusk @Tesla Bleh 🤮 to that 😂,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
89,1370524329004429314,2021-03-12T23:57:17.000Z,"@TYAnalysis @business @bloomberglaw @Tesla @elonmusk @Twitter The guy Chase Gharrity owns a blue coffee company, and is involved with other lawsuits. Many failed lawyers go into small business and use their education to sue people to make money and they call it Investment. It’s a type of fraud that is legal and very hush hush, https://t.co/sN2QdNcUAf","{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
90,1370524327469273088,2021-03-12T23:57:17.000Z,"@elonmusk Tesla is an anagram for ""steal "" make of that what you will","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
91,1370524322872266753,2021-03-12T23:57:16.000Z,"@sokane1 So for people who had it revoked, how were they caught? Constantly ignoring warnings? Is Tesla reviewing disengagements and flagging problematic ones? Or is this just a handful of people who posted something Extra Dumb on tiktok?","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
92,1370524320234094603,2021-03-12T23:57:15.000Z,"@TilmanWinkler @CNBC @WholeMarsBlog @skorusARK @TeslaPodcast @elonmusk It’s 79% (in the US) per the latest Experian data

1Tesla Model 3
2Tesla Model Y
3Chevrolet Bolt EV
4Tesla Model X
5Tesla Model S
6Nissan Leaf
7Audi E-tron
8Porsche Taycan
9Hyundai Kona EV
10Kia Niro EV

https://t.co/1klJHfdSJ7","{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}"
93,1370524302257254402,2021-03-12T23:57:11.000Z,"RT @elonmusk: Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note: word “Be…","{'retweet_count': 1264, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
94,1370524300197863427,2021-03-12T23:57:10.000Z,@hmeisler TSLA HOD MONDAY 777,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
95,1370524296704053254,2021-03-12T23:57:10.000Z,"FSD wide release using pure vision, no radar... bold move Tesla! https://t.co/N2Qbrilcxq","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
96,1370524285941379074,2021-03-12T23:57:07.000Z,"RT @kimihonakamura1: こりゃ面白いぜよ🔥
#Cardano(#ADA）#Tesla #Haskell","{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
97,1370524284372672518,2021-03-12T23:57:07.000Z,"@BezzioPolishGuy @pineappIetrades @shanecon123 @zerohedge I'm not saying he's not an allocation guy.
hell, he used to know exactly where to put money...

but an ""idea"" guy?

doesn't he just buy them?
isn't that how he got tesla anyway?","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
98,1370524273358610442,2021-03-12T23:57:04.000Z,@elonmusk ok but when is $tsla going to $2000,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}"
99,1370524267591389186,2021-03-12T23:57:03.000Z,Getting this little stimmy money make me wanna finally get this Tesla 🤔🤔,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}"
100,1370887393142800385,2021-03-13T23:59:59.000Z,"RT @DrEricDing: Oh my....

Tesla’s SF area factory recorded 450 #COVID19 cases in workers following CEO Elon Musk’s defiant reopening of th…","{'retweet_count': 2223, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
101,1370887391687368708,2021-03-13T23:59:58.000Z,Tesla’s Elon Musk Wants Coinbase to Become DOGE-Friendly https://t.co/gQzHJ7t32i,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
